Nome da aeronave: Teste 052 
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 
Angulo de incidencia do profundor: 
Informaçoes extras: 
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
21.4413	!lg@	4	0.001	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4515	!lg@	4	0.001	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4617	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4724	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4724	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4827	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4930	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.4930	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
21.5049	!lg@	4	0.002	0	0	0	0	0	0	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
