Nome da aeronave: teste 09 asa
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 3
Angulo de incidencia do profundor: 
Informaçoes extras: 50
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
74.4006	!lg@	4	0.001	-1.59	0.23	0.06	-0.06	0.23	9.03	2337.190	5.833	3.0949	2361.370	0.244	0.6323	2289.370	-3.009	2.2230	2302.310	6.074	3.1582	6.074	-3.009	OutOfRange	18847.000	0.294	1711.000	0.077	-2470.000	-0.126	1618.000	0.075	-3086.000	-0.144	-0.168	0.266	-0.012	0.104	
75.0230	No command	4	0.001	-1.46	0.26	0.08	-0.16	0.26	9.11	2341.690	10.333	4.1192	2377.870	16.744	5.2434	2311.120	18.741	5.5473	2325.560	29.324	6.9391	29.324	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	628.000	0.029	-2095.000	-0.098	-0.109	0.273	-0.009	0.117	
75.0334	No command	4	0.002	-1.46	0.26	0.08	-0.16	0.26	9.11	2341.690	10.333	4.1192	2377.870	16.744	5.2434	2311.120	18.741	5.5473	2325.560	29.324	6.9391	29.324	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	628.000	0.029	-2095.000	-0.098	-0.109	0.273	-0.009	0.117	
75.0441	No command	4	0.002	-1.46	0.26	0.08	-0.16	0.26	9.11	2341.690	10.333	4.1192	2377.870	16.744	5.2434	2311.120	18.741	5.5473	2325.560	29.324	6.9391	29.324	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	628.000	0.029	-2095.000	-0.098	-0.109	0.273	-0.009	0.117	
75.0548	No command	4	0.002	-2.00	0.36	-0.19	0.17	0.31	8.97	2341.690	10.333	4.1192	2377.870	16.744	5.2434	2311.120	18.741	5.5473	2325.560	29.324	6.9391	29.324	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	628.000	0.029	-2095.000	-0.098	-0.109	0.273	-0.009	0.117	
75.0653	No command	4	0.003	-2.00	0.36	-0.19	0.17	0.31	8.97	2343.190	11.833	4.4080	2369.250	8.124	3.6523	2311.120	18.741	5.5473	2317.310	21.074	5.8826	29.324	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	628.000	0.029	-2095.000	-0.098	-0.109	0.273	-0.009	0.117	
75.0776	No command	4	0.003	-2.00	0.36	-0.19	0.17	0.31	8.97	2343.190	11.833	4.4080	2369.250	8.124	3.6523	2311.120	18.741	5.5473	2317.310	21.074	5.8826	21.074	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	762.000	0.035	-2095.000	-0.098	-0.102	0.273	-0.008	0.113	
75.0886	No command	4	0.003	-2.00	0.36	-0.19	0.17	0.31	8.97	2343.190	11.833	4.4080	2369.250	8.124	3.6523	2311.120	18.741	5.5473	2317.310	21.074	5.8826	21.074	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	762.000	0.035	-2095.000	-0.098	-0.102	0.273	-0.008	0.113	
75.0996	No command	4	0.003	-2.00	0.36	-0.19	0.17	0.31	8.97	2343.190	11.833	4.4080	2369.250	8.124	3.6523	2311.120	18.741	5.5473	2317.310	21.074	5.8826	21.074	18.741	OutOfRange	18636.000	0.291	579.000	0.026	-1243.000	-0.063	762.000	0.035	-2095.000	-0.098	-0.102	0.273	-0.008	0.113	
