Nome da aeronave: teste 14
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 9
Angulo de incidencia do profundor: 
Informaçoes extras: 50kmh
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
82.4099	!lg@	4	0.001	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.269	0.118	-0.025	0.124	
82.4099	!lg@	4	0.001	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.269	0.118	-0.025	0.124	
82.4201	!lg@	4	0.002	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.269	0.118	-0.025	0.124	
82.4322	!lg@	4	0.002	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.286	0.118	-0.025	0.116	
82.4322	!lg@	4	0.002	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.286	0.118	-0.025	0.116	
82.4428	!lg@	4	0.003	-1.70	0.26	0.10	-0.07	0.20	9.00	2302.120	-25.425	6.4614	2331.940	-17.591	5.3745	2278.120	-2.711	2.1100	2284.690	-0.272	0.6686	-0.272	-2.711	OutOfRange	8765.000	0.137	-12075.000	-0.546	8738.000	0.446	-14863.000	-0.691	10851.000	0.507	-0.286	0.118	-0.025	0.116	
82.4530	!lg@	4	0.003	-1.55	0.34	-0.02	-0.35	0.30	8.93	2308.310	-19.235	5.6200	2342.620	-6.911	3.3687	2280.750	-0.081	0.3654	2290.310	5.348	2.9633	5.348	-0.081	OutOfRange	6168.000	0.096	-11674.000	-0.528	8181.000	0.417	-14527.000	-0.676	11441.000	0.535	-0.286	0.118	-0.025	0.116	
82.4530	!lg@	4	0.003	-1.55	0.34	-0.02	-0.35	0.30	8.93	2308.310	-19.235	5.6200	2342.620	-6.911	3.3687	2280.750	-0.081	0.3654	2290.310	5.348	2.9633	5.348	-0.081	OutOfRange	6168.000	0.096	-11674.000	-0.528	8181.000	0.417	-14527.000	-0.676	11441.000	0.535	-0.286	0.118	-0.025	0.116	
82.4633	!lg@	4	0.003	-1.55	0.34	-0.02	-0.35	0.30	8.93	2308.310	-19.235	5.6200	2342.620	-6.911	3.3687	2280.750	-0.081	0.3654	2290.310	5.348	2.9633	5.348	-0.081	OutOfRange	6168.000	0.096	-11674.000	-0.528	8181.000	0.417	-14527.000	-0.676	11441.000	0.535	-0.286	0.118	-0.025	0.116	
