Nome da aeronave: Teste 06 - sn
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 6
Angulo de incidencia do profundor: 
Informaçoes extras: 40kmh
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
41.0075	!lg@	4	0.001	-1.86	0.29	-0.18	0.22	0.34	8.86	2342.250	2342.250	62.0166	2350.120	2350.120	62.1207	2298.000	2298.000	61.4280	2298.560	2298.560	61.4355	2298.560	2298.000	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.002	0.017	0.001	-0.466	
41.0075	!lg@	4	0.001	-1.86	0.29	-0.18	0.22	0.34	8.86	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.002	0.017	0.001	-0.466	
41.0185	!lg@	4	0.002	-0.97	0.29	-0.07	-0.42	0.16	8.81	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.002	0.017	0.001	-0.466	
41.0185	!lg@	4	0.002	-0.97	0.29	-0.07	-0.42	0.16	8.81	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.002	0.017	0.001	-0.466	
41.0287	!lg@	4	0.002	-0.97	0.29	-0.07	-0.42	0.16	8.81	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.003	0.032	0.001	-0.175	
41.0391	!lg@	4	0.003	-0.97	0.29	-0.07	-0.42	0.16	8.81	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.003	0.032	0.001	-0.175	
41.0391	!lg@	4	0.003	-0.97	0.29	-0.07	-0.42	0.16	8.81	2345.810	2345.810	62.0637	2356.690	2356.690	62.2075	2291.440	2291.440	61.3403	2301.190	2301.190	61.4706	2301.190	2291.440	OutOfRange	3193.000	0.050	25.000	0.001	-140.000	-0.007	-104.000	-0.005	167.000	0.008	-0.003	0.032	0.001	-0.175	
41.0496	!lg@	4	0.003	-0.97	0.29	-0.07	-0.42	0.16	8.81	2335.870	2335.870	61.9321	2375.250	2375.250	62.4520	2289.000	2289.000	61.3076	2300.060	2300.060	61.4555	2300.060	2289.000	OutOfRange	3193.000	0.050	10.000	0.000	-140.000	-0.007	-142.000	-0.007	167.000	0.008	-0.003	0.032	0.001	-0.175	
41.0597	!lg@	4	0.004	-1.35	0.17	0.05	-0.23	0.07	8.91	2335.870	2335.870	61.9321	2375.250	2375.250	62.4520	2289.000	2289.000	61.3076	2300.060	2300.060	61.4555	2300.060	2289.000	OutOfRange	3193.000	0.050	10.000	0.000	-140.000	-0.007	-142.000	-0.007	167.000	0.008	-0.003	0.032	0.001	-0.175	
