Nome da aeronave: Aeronave de teste
Local de voo: Local de teste
Temperatura: 
Angulo de incidencia da asa: 
Angulo de incidencia do profundor: 
Informaçoes extras: 60kmh
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
121.3444	!lg@	4	0.001	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	7.023	10.570	OutOfRange	-18926.000	-0.295	495.000	0.022	180.000	0.009	285.000	0.013	447.000	0.021	0.069	-0.312	0.004	0.094	
121.3547	!lg@	4	0.001	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	7.023	10.570	OutOfRange	-18926.000	-0.295	495.000	0.022	180.000	0.009	285.000	0.013	447.000	0.021	0.069	-0.312	0.004	0.094	
121.3547	!lg@	4	0.001	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	7.023	10.570	OutOfRange	-18926.000	-0.295	495.000	0.022	180.000	0.009	285.000	0.013	447.000	0.021	0.069	-0.312	0.004	0.094	
121.3652	!lg@	4	0.002	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.3754	!lg@	4	0.002	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.3754	!lg@	4	0.002	-1.28	0.45	-0.56	-0.66	0.50	8.97	2353.870	30.124	7.0331	2386.120	32.363	7.2898	2307.560	16.570	5.2162	2301.750	0.463	0.8717	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.3856	!lg@	4	0.003	-2.19	0.24	0.53	0.01	0.36	8.75	2352.000	28.254	6.8113	2375.810	22.053	6.0176	2303.440	12.450	4.5214	2306.440	5.153	2.9088	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.3958	!lg@	4	0.003	-2.19	0.24	0.53	0.01	0.36	8.75	2352.000	28.254	6.8113	2375.810	22.053	6.0176	2303.440	12.450	4.5214	2306.440	5.153	2.9088	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.3958	!lg@	4	0.003	-2.19	0.24	0.53	0.01	0.36	8.75	2352.000	28.254	6.8113	2375.810	22.053	6.0176	2303.440	12.450	4.5214	2306.440	5.153	2.9088	0.463	16.570	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.4062	!lg@	4	0.004	-1.83	0.28	-0.76	0.36	-0.09	9.28	2352.000	28.254	6.8113	2375.810	22.053	6.0176	2303.440	12.450	4.5214	2306.440	5.153	2.9088	5.153	12.450	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.4062	!lg@	4	0.004	-1.83	0.28	-0.76	0.36	-0.09	9.28	2343.370	19.624	5.6765	2365.690	11.933	4.4265	2318.620	27.630	6.7357	2311.310	10.023	4.0568	5.153	12.450	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	285.000	0.013	447.000	0.021	0.073	-0.307	0.004	0.088	
121.4168	!lg@	4	0.004	-1.83	0.28	-0.76	0.36	-0.09	9.28	2343.370	19.624	5.6765	2365.690	11.933	4.4265	2318.620	27.630	6.7357	2311.310	10.023	4.0568	5.153	12.450	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	366.000	0.017	424.000	0.020	0.075	-0.307	0.004	0.092	
121.4270	!lg@	4	0.004	-1.83	0.28	-0.76	0.36	-0.09	9.28	2343.370	19.624	5.6765	2365.690	11.933	4.4265	2318.620	27.630	6.7357	2311.310	10.023	4.0568	10.023	27.630	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	366.000	0.017	424.000	0.020	0.075	-0.307	0.004	0.092	
121.4270	!lg@	4	0.004	-1.83	0.28	-0.76	0.36	-0.09	9.28	2343.370	19.624	5.6765	2365.690	11.933	4.4265	2318.620	27.630	6.7357	2311.310	10.023	4.0568	10.023	27.630	OutOfRange	-18594.000	-0.290	487.000	0.022	261.000	0.013	366.000	0.017	424.000	0.020	0.075	-0.307	0.004	0.092	
