Nome da aeronave: Teste 03 - sem nada
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 
Angulo de incidencia do profundor: 
Informaçoes extras: 50kmh
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
150.3700	!lg@	4	0.001	-0.76	0.32	0.28	0.48	0.64	9.14	2356.310	10.069	4.0662	2384.810	13.516	4.7110	2301.560	-0.906	1.2194	2307.750	0.978	1.2673	0.978	-0.906	OutOfRange	10117.000	0.158	-3039.000	-0.138	3817.000	0.195	3049.000	0.142	-3170.000	-0.148	0.052	0.113	-0.003	-0.022	
150.3802	!lg@	4	0.001	-0.76	0.32	0.28	0.48	0.64	9.14	2356.310	10.069	4.0662	2384.810	13.516	4.7110	2301.560	-0.906	1.2194	2307.750	0.978	1.2673	0.978	-0.906	OutOfRange	10117.000	0.158	-3039.000	-0.138	3817.000	0.195	3049.000	0.142	-3170.000	-0.148	0.052	0.113	-0.003	-0.022	
150.3802	!lg@	4	0.001	-0.76	0.32	0.28	0.48	0.64	9.14	2356.310	10.069	4.0662	2384.810	13.516	4.7110	2301.560	-0.906	1.2194	2307.750	0.978	1.2673	0.978	-0.906	OutOfRange	10117.000	0.158	-3039.000	-0.138	3817.000	0.195	3049.000	0.142	-3170.000	-0.148	0.052	0.113	-0.003	-0.022	
150.3934	!lg@	4	0.002	-0.76	0.32	0.28	0.48	0.64	9.14	2355.750	9.509	3.9516	2385.000	13.706	4.7440	2314.870	12.404	4.5131	2311.310	4.538	2.7298	0.978	-0.906	OutOfRange	10117.000	0.158	-3039.000	-0.138	3817.000	0.195	3049.000	0.142	-3170.000	-0.148	0.052	0.113	-0.003	-0.022	
150.4040	!lg@	4	0.002	-2.33	0.29	-0.28	-0.23	0.60	9.20	2355.750	9.509	3.9516	2385.000	13.706	4.7440	2314.870	12.404	4.5131	2311.310	4.538	2.7298	0.978	-0.906	OutOfRange	10117.000	0.158	-3039.000	-0.138	3742.000	0.191	2998.000	0.139	-3170.000	-0.148	0.050	0.141	-0.003	-0.022	
150.4040	!lg@	4	0.002	-2.33	0.29	-0.28	-0.23	0.60	9.20	2355.750	9.509	3.9516	2385.000	13.706	4.7440	2314.870	12.404	4.5131	2311.310	4.538	2.7298	4.538	12.404	OutOfRange	10117.000	0.158	-3039.000	-0.138	3742.000	0.191	2998.000	0.139	-3170.000	-0.148	0.050	0.141	-0.003	-0.022	
150.4157	!lg@	4	0.003	-1.78	0.30	0.19	0.65	-0.63	8.81	2356.870	10.629	4.1778	2383.690	12.396	4.5116	2317.310	14.844	4.9371	2295.750	-11.022	4.2542	4.538	12.404	OutOfRange	10117.000	0.158	-3039.000	-0.138	3742.000	0.191	2998.000	0.139	-3170.000	-0.148	0.050	0.141	-0.003	-0.022	
150.4263	!lg@	4	0.003	-1.78	0.30	0.19	0.65	-0.63	8.81	2356.870	10.629	4.1778	2383.690	12.396	4.5116	2317.310	14.844	4.9371	2295.750	-11.022	4.2542	4.538	12.404	OutOfRange	10117.000	0.158	-3039.000	-0.138	3742.000	0.191	2998.000	0.139	-3170.000	-0.148	0.050	0.141	-0.003	-0.022	
150.4263	!lg@	4	0.003	-1.78	0.30	0.19	0.65	-0.63	8.81	2314.310	-31.931	7.2409	2351.440	-19.854	5.7098	2292.940	-9.526	3.9549	2292.750	-14.022	4.7984	-11.022	14.844	OutOfRange	10117.000	0.158	-3039.000	-0.138	3742.000	0.191	2998.000	0.139	-3170.000	-0.148	0.050	0.141	-0.003	-0.022	
