Nome da aeronave: profundor sem fita 0
Local de voo: 
Temperatura: 
Angulo de incidencia da asa: 
Angulo de incidencia do profundor: 0
Informaçoes extras: 
Tempo	Mensagem	Modo	Tamanho do arquivo	Taxa de giro em X	Taxa de giro em Y	Taxa de giro em Z	Aceleração em X	Aceleração em Y	Aceleração em Z	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	º/s	º/s	º/s	g	g	g	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
93.7320	!lg@	4	0.001	-2.06	0.05	-1.51	0.36	0.14	9.03	2389.310	49.923	9.0540	2409.190	66.173	10.4239	2307.000	59.687	9.8999	2236.310	-22.377	6.0617	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1586.000	0.074	-0.199	-0.630	-0.010	0.079	
93.7423	!lg@	4	0.001	-2.06	0.05	-1.51	0.36	0.14	9.03	2389.310	49.923	9.0540	2409.190	66.173	10.4239	2307.000	59.687	9.8999	2236.310	-22.377	6.0617	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1586.000	0.074	-0.198	-0.637	-0.011	0.082	
93.7423	!lg@	4	0.001	-2.06	0.05	-1.51	0.36	0.14	9.03	2389.310	49.923	9.0540	2409.190	66.173	10.4239	2307.000	59.687	9.8999	2236.310	-22.377	6.0617	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1680.000	0.079	-0.198	-0.637	-0.011	0.082	
93.7538	!lg@	4	0.002	-0.52	0.44	0.29	-0.33	0.05	8.37	2389.310	49.923	9.0540	2409.190	66.173	10.4239	2307.000	59.687	9.8999	2236.310	-22.377	6.0617	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1680.000	0.079	-0.198	-0.637	-0.011	0.082	
93.7641	!lg@	4	0.002	-0.52	0.44	0.29	-0.33	0.05	8.37	2389.310	49.923	9.0540	2409.190	66.173	10.4239	2307.000	59.687	9.8999	2236.310	-22.377	6.0617	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1680.000	0.079	-0.198	-0.637	-0.011	0.082	
93.7775	!lg@	4	0.003	-0.52	0.44	0.29	-0.33	0.05	8.37	2320.120	-19.267	5.6247	2266.310	-76.707	11.2230	2224.500	-22.813	6.1205	2243.620	-15.067	4.9741	-22.377	59.687	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1680.000	0.079	-0.198	-0.637	-0.011	0.082	
93.7775	!lg@	4	0.003	-0.52	0.44	0.29	-0.33	0.05	8.37	2320.120	-19.267	5.6247	2266.310	-76.707	11.2230	2224.500	-22.813	6.1205	2243.620	-15.067	4.9741	-15.067	-22.813	OutOfRange	-39655.000	-0.619	-3921.000	-0.177	1297.000	0.066	-3585.000	-0.167	1680.000	0.079	-0.198	-0.637	-0.011	0.082	
93.7894	!lg@	4	0.003	-0.52	0.44	0.29	-0.33	0.05	8.37	2320.120	-19.267	5.6247	2266.310	-76.707	11.2230	2224.500	-22.813	6.1205	2243.620	-15.067	4.9741	-15.067	-22.813	OutOfRange	-39426.000	-0.615	-3987.000	-0.180	1390.000	0.071	-3675.000	-0.171	1680.000	0.079	-0.193	-0.637	-0.010	0.080	
93.8006	!lg@	4	0.003	-0.52	0.44	0.29	-0.33	0.05	8.37	2320.120	-19.267	5.6247	2266.310	-76.707	11.2230	2224.500	-22.813	6.1205	2243.620	-15.067	4.9741	-15.067	-22.813	OutOfRange	-39426.000	-0.615	-3987.000	-0.180	1390.000	0.071	-3675.000	-0.171	1680.000	0.079	-0.193	-0.637	-0.010	0.080	
