Nome da aeronave: Aeronave de teste
Local de voo: Local de teste
Temperatura: NaN
Angulo de incidencia da asa: NaN
Angulo de incidencia do profundor: NaN
Informaçoes extras: N/A
Tempo	Mensagem	Modo	Tamanho do arquivo	Raw Pitot - Pitot 0	Pressao Dinamica Ref.- Pitot 0	Velocidade Ref. - Pitot 0	Raw Pitot - Pitot 1	Pressao Dinamica Ref.- Pitot 1	Velocidade Ref. - Pitot 1	Raw Pitot - Pitot 2	Pressao Dinamica Ref.- Pitot 2	Velocidade Ref. - Pitot 2	Raw Pitot - Pitot 3	Pressao Dinamica Ref.- Pitot 3	Velocidade Ref. - Pitot 3	AoA Differential Pressure - Sonda AoA 0	AoA Dynamic Pressure - Sonda AoA 0	AoA - Sonda AoA 0	Raw Cell Data - Celula Horizontal	Forca - Celula Horizontal	Raw Cell Data - Celula Frontal Direita	Forca - Celula Frontal Direita	Raw Cell Data - Celula Frontal Esquerda	Forca - Celula Frontal Esquerda	Raw Cell Data - Celula Traseira Direita	Forca - Celula Traseira Direita	Raw Cell Data - Celula Traseira Esquerda	Forca - Celula Traseira Esquerda	Lift	Drag	Moment	Distance Cp	
seg	str	int	int	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	V	Pa	m/s	Pa	Pa	deg	adm	N	adm	N	adm	N	adm	N	adm	N	N	N	N	m	
17155.8307	!lg@	4	0.001	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8307	!lg@	4	0.001	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8424	!lg@	4	0.001	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8527	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8633	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8633	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8737	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8842	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8842	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.8955	!lg@	4	0.002	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9058	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9172	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9172	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9277	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9380	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9380	!lg@	4	0.003	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9503	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9606	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9712	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9712	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9815	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17155.9918	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
17156.0028	!lg@	4	0.004	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0	0.000	0.0000	0.000	0.000	OutOfRange	0	0	0	0	0	0	0	0	0	0	0.000	-0.018	0.000	0	
